name,cuisine,avg_del_time,avg_price_for_2,offers
Hush Cafe,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Veg Daawat by Behrouz,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Eat Italy,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Coriander Multicuisine Restaurant,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
BEL POSTO THE CAFE,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Flechazo,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Sri Maha Raja Rajeswari Tiffins Meals Currys and Snacks At Fec,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Alfa Sweets,"Chinese, North Indian, South Indian",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
BIB - Breakfast in the Box,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
HEALTHHYY5IVE,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Flying Kombucha,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Fullfills,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Bhatti Chicken Wings,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Barista,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Mr.Singh ( North/South Rasoi ),"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Peppy Parathas & Rolls By Chai Point,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
UR Life Cafe,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Tom and Nori,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Agra Sweets Namkeen & Chat Bhandar,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
SHAKE STUDIO,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Curry Leaf,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Anand Sweets & Savouries,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Biryaniwalla,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Kumbakonam degree coffee,"American, Snacks",39 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Vegicious - DIY,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
ARABIAN SHAWARMA HUB,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Iceberg Organic Icecreams By EatFit,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Balaji Mahesh Mithai Bhandar,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Noodles Avenue,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Fruit Lust,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
The Clay pot,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Amora Tapas,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Cloud O China,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Mumbaichee Chaat Street,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Magic Pancakes,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Sonu De SNACKS,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
BHAI KI CHAI,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Ye Lo Chai,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
THE KULFI & FALOODA PROJECT,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Healthy and tasty kitchen,"Indian, Snacks, Salads",28 MINS,₹250 FOR TWO,50% off | Use WELCOME50
Healthy and tasty kitchen,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Chinese Hub,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Flying Beans Cafe,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
DESI ROLLS,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Oriental Kitchen by 10D Express,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Punjabi Paratha castle,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
GOPIZZA,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Dadu's - D'Creme,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Tenner Cafe by 10DOWNING Street,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Avakai Bowl,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
ONESTA PIZZA HUT,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
DRINK YOUR VITAMINS,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Ahobilam Foods - Millet Cave,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
AM PM Store,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
City Lights Biryani,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Venkys Xprs,"Indian, Snacks",37 MINS,₹300 FOR TWO,50% off | Use WELCOME50
RUCHIS FOOD COURT,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Veerji de PUNJABI PARATHE,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Tummy Treat,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Charminar Biryani Co.,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Dibbarotti,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
The Garden cafe,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Quaint Kitchens Gachibowli,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Village,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Tea Time,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Barfi Delite,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
KHAANSAAB EXPRESS,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Calistha - A Dainty Bistro,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
SuRaSu,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Cafe Melange,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Mon ame patisserie,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Le Macaron by Harley's,Chinese,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
Absolute Froot,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Momo Guy,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Millets Made Tasty,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Nice Tiffins Meals Snacks At Fec,Beverages,45 MINS,₹150 FOR TWO,50% off | Use WELCOME50
