name,cuisine,avg_del_time,avg_price_for_2,offers
Biryani Dynasty,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Fish N Feast,"Pizzas, Fast Food",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Al Hejaz Shawarma,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
A.N Yadav Pan Stores,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sizzling Joe,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
THE HIDE AWAY CAFE,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Natural Shakes,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Bakers Villa,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Way To Kitchen,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Bake Barn Shakes And Cakes,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pehle Aap,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
The Juice Company,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
PIZZA HUT BOY,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Sandwich Villa,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Kumar Tiffins,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
WAFFLE POPSY,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Tasty Touch Restaurant,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pizza 555,"Biryani, Chinese",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
DESI ROLLS,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Cake Boss,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
De thick shakes,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
A'la Liberty,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Om Sri Sai Fast Food Centre,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pizza Kitchen,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Surprise India - Online Cake Delivery,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Fullfills,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Baker's Cafe,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Wanderlust Bakes,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Tasty Momos,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Gabru Di Chaap,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Mr.Singh ( North/South Rasoi ),Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
MULTI CHEF'S RESTAURANT,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Puliyogare Palace,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Rambharose - Bhattad Ki Idli,Arabian,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pizza Spot,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
SHAWARMA HOSTE,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Chinese Express Wok,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Oye Chhotu,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Pind Kaneda,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Chinese Corner,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
BREWS & BLENDS CAFE,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Chopper's Stop,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
PARATHA DURBAR,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
RS Bowl Kitchen,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Fat Chinese Chef,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Rozi Roti,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
RAJA BHOJ & CO.,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Excellent Dumpling House,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Tandoori Lights,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Desi wok,"Pizzas, Pastas, Desserts",48 MINS,₹400 FOR TWO,20% off on all orders
Excellent Dumpling House,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Tandoori Lights,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Desi wok,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Wallonia Waffle Co.,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Tandoor moghul,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Dana Paani,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Shanghai Chillie's,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
The Liege Waffles,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Vaango,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Parathe Balle Balle,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Masti Ccafe Bar,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Aaha Food Village,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Laale Di Chaap,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
DELHI CACIES,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Let's Wok,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
GOSSIP COFFEE SHACK,"Chinese, Snacks",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
GOSSIP COFFEE SHACK,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
coco's - shakes&cakes,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Pizza Hotel,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
San and Sally,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
New Pizza,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Aromas@11six,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Paapi Peth,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Amma Vantalu,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
PIZZA CHEESE AND MORE,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
PIZZA MANIA,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Charcoal Gril,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Grillz Korner,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Southern Corner,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Chai Kaburlu,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Rangla Punjab,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Peppertea Cafe,"Bakery, Fast Food",45 MINS,₹366 FOR TWO,50% off | Use WELCOME50
Juice N Bite,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Royal Hot & Cold Cafe Fresh & Pure,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Taste Rockers,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Milkshake Panda,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Lassi klub,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Chinesecape,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
My Sugarcane,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
AB Kitchen,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Ching Chinese Restaurant,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Mama Momos Adda,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Feast Xpress,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Pizza Bar,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Dr Cafe Coffee And Snacks	,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Only Biryanis,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
MR.Pulihora,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Cheesecakery,Beverages,44 MINS,₹150 FOR TWO,50% off | Use WELCOME50
Cheesecakery,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
kitchen at 10,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Sandwichoz,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Happi Chai & Juice Center,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Veggie Delight,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Dou Chi,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
KAHI SE BHI,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Date With Sugar,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
HYDERABADI CHAI ADDA CAFE LOUNGE  GRILL,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Chai Bar,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
House of Candy,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Dilli Meri Jaan,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
CURRY SPOON,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Begum's Biryani,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Brown Bear Bakers Manikonda,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Mildland Bakery,Bakery,45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
Combo Street,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pista Bakers,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Cake And Bakes,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Bullet Biryani,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
NK foods,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Anitha's Kitchen,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Interbell Cafe,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
BREAK A TAKE,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Gazi Shawarma,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Ertugrul Shawarma,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Ankit Juice Point,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
De thick shakes,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
ChowrastaChai SR Nagar,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Cake Delivery 24x7,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Student Affairs,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Star Cocina,Combo,37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
De thick shakes,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
ChowrastaChai SR Nagar,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Cake Delivery 24x7,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Student Affairs,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Star Cocina,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Jk Raj Juice Lassi Faluda $ Milkshake	,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Omleterian,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
What A Wok,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Roll Em Up,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Dilli Kathi Roll,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pop Pulao,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
MKS Rolmoz,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Pizza Rite,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Waffle Studio,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Lakshmi Deluxe Mess,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
Bar One Bar And Restaurant,Beverages,47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
MISK BIRYANIS,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Myfroyoland - Premium Frozen Yogurt,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Krupa Mess And Tiffins,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Biryani N Beyond,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Daily Relish,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Peshawar Juice n Ice cream,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Fryeo,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Breads and Sauces,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Peppy Chicken,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Gelatissimo,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
Chemistry With Chinestry,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
desi momo,"Biryani, Snacks, Indian, Desserts",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
